100																																																																																																				
9196	7688	4240	6065	2595	2333	1204	1918	501	226	9589	3546	8475	4859	8342	9010	6804	9259	4000	2519	2235	8676	8586	167	6567	8048	6681	6862	1921	4353	2009	7245	7355	4484	7276	921	2783	299	4387	791	6229	3146	1995	9607	4569	8466	8138	1054	7612	1693	2138	7721	7210	6505	132	7950	9725	5577	5649	2085	144	5495	1901	9192	1718	8159	2141	3527	3419	4760	722	3983	1067	9156	9871	5499	9682	5019	2936	411	596	802	2347	2116	9630	5858	9379	7960	6828	1094	1178	4344	7100	916	1359	1399	2435	912	1497	5153	
4415	2478	8123	9788	1085	8855	4696	9438	1820	2077	7176	879	1474	7618	6956	4592	2093	6054	1022	8764	3132	1488	8029	318	5407	7119	9064	2627	796	8144	728	4002	9364	8099	3603	1513	725	5418	4510	6569	9281	5090	8243	5108	6031	213	2708	2662	4721	1534	7166	6707	2261	5150	6449	6383	5200	8495	2799	1108	5384	2296	7315	2431	8304	5856	4357	1307	26	5222	75	1731	5736	7392	9857	6290	1187	7090	3980	3533	5776	1858	4555	6979	7904	9210	6015	3076	4758	9021	525	2224	7615	1774	5922	2497	8797	7869	2214	1868	
6324	6147	1476	1156	2377	9136	5913	5392	5623	6563	2331	4109	8276	4474	2876	9783	1043	9530	9023	628	9883	3329	4842	3601	1737	954	3308	3185	6545	4146	3649	6435	2555	2041	1524	3540	1308	1130	484	2230	142	8650	8223	8915	3645	922	4164	6568	3479	7096	663	54	5635	2989	8942	366	1254	1722	407	4774	4278	2540	4329	7255	3791	2353	9384	9302	9513	1628	9963	844	9313	3866	9143	4293	2124	4180	9429	9929	4579	37	1199	811	9615	9728	8950	56	9971	2537	4851	2978	175	2645	9024	5486	6051	6611	2679	9163	
3585	27	2459	421	23	1494	1319	6456	91	2733	1876	3720	5143	6999	3998	7776	4007	6286	233	714	6816	3809	8432	79	6948	4559	4830	2719	9571	6562	5409	1346	692	6106	3259	9360	6436	188	5323	2527	8606	506	7291	8427	2413	6724	5579	4411	5630	6720	5327	6386	3112	6454	5316	6066	1728	8937	9816	9817	768	4844	9908	6233	4625	7970	2423	770	1491	9178	18	5022	4256	9124	1900	4876	9621	3982	9876	3051	9678	8176	664	5204	1329	57	5478	4190	1838	1209	5377	7484	9797	6401	2951	249	6424	6103	336	1798	
9411	8430	8793	2403	1289	6422	7953	8205	1953	7536	9523	5015	2657	8324	1414	3228	4521	886	6274	2483	1811	9879	4292	4712	2003	4651	7352	7236	2564	8251	6580	2302	2139	5684	3917	8297	1907	7399	2448	5479	2752	7673	928	2612	9699	5575	3510	787	8765	9062	473	6135	8523	8613	9161	2642	7064	2104	8240	5415	9234	9978	1602	9461	586	8483	2298	6268	2386	9050	7539	3478	6390	1662	5472	6425	2848	5769	7792	1352	9444	1174	9712	45	4215	3153	9891	8108	9602	7675	4115	7011	2268	514	7457	4014	2969	8552	7576	8067	
1810	9923	4500	5560	1928	4512	3678	9075	7496	2744	2013	209	4272	1026	9642	7473	6282	261	2337	8149	7041	6583	2409	4179	2663	9254	8928	6257	9057	2857	4328	2215	1012	2785	606	8893	7643	3118	2992	9206	6478	7942	1935	3300	9450	4137	5613	587	254	2704	9416	2071	7191	747	7510	2001	3823	6571	2689	9085	1281	9405	1317	5703	2256	2376	183	2112	9864	1913	5779	7141	9197	2699	1437	179	8478	356	8476	6374	658	8702	6239	4207	3269	8835	5941	6798	2128	3916	1998	7383	4172	3519	1102	6331	7482	4374	1993	6493	
9965	6223	6990	7366	7957	363	1753	2188	4770	8834	1640	5456	2620	8511	7120	2914	1198	4594	6461	9608	2356	9877	7700	4099	6909	5868	215	3553	2621	7861	3957	8063	3746	9056	9940	9117	35	9296	6395	932	7578	3864	1116	9846	5076	4571	7347	3490	5589	3352	89	6167	5352	646	3535	8502	7810	3364	1740	9323	9033	4819	4553	1502	1247	4449	9656	4513	7386	2342	512	9843	1040	715	1495	4729	1236	2205	2395	1392	4590	5822	7393	4497	6181	7026	7472	9237	1930	6078	7080	7594	4773	5165	4759	8230	8677	4277	2157	955	
5890	4814	604	7316	2017	4680	2959	8169	5624	3013	4163	8339	7812	3891	3044	7777	1978	995	6093	5872	994	1295	7118	5120	5209	895	1038	7003	1862	2365	3666	804	2543	520	5870	6685	4726	9916	6542	238	7034	6942	2553	3589	1016	5723	2487	806	1363	4429	6960	3207	7164	4300	8179	5066	5453	3371	5035	1586	5229	873	2286	4583	4674	9616	439	2891	6630	8802	6791	2301	9661	6853	3335	7582	8853	9036	6305	147	1823	1001	896	250	4701	9599	3173	5408	2539	706	101	4312	3277	5999	5207	4167	4477	3239	1541	1707	
9954	9762	5429	9319	562	8971	1248	8224	9736	4220	8938	2206	4105	8851	803	2336	1270	2913	6489	2518	5390	3321	4005	8214	1335	7394	5232	2388	444	2251	136	8632	8401	7964	2982	8390	4111	6438	8444	7159	3200	9149	828	5145	3939	1601	4406	5706	9476	2608	7744	2182	6911	7145	2412	8637	7071	5572	84	9689	7212	1969	3721	1886	7973	5470	2172	402	4857	5196	8988	1983	2484	1394	7911	3096	2262	9130	9624	9730	3443	4211	6927	2764	3271	4738	471	7657	511	73	1465	4735	4417	6557	6111	76	5874	1764	3446	7947	
17	6980	1631	1273	5986	1483	518	6354	5523	5715	3716	9345	2174	7243	3960	6621	9835	1613	618	87	6463	4253	8563	5203	839	2082	5216	262	6879	1943	1257	5628	3521	6741	2163	9078	328	5315	7610	7073	2584	9588	349	4921	6829	3114	5651	6906	3188	486	9376	8022	6760	8883	4635	1975	9673	2228	2818	5366	3438	3072	2637	8267	8364	6362	2305	7094	6279	1926	5735	7784	3016	6972	1080	288	1791	6345	1914	131	6389	8570	6043	862	9068	9778	1429	5895	6954	2210	8686	2988	8977	7704	2780	9527	1444	8593	9473	4231	
